folio,categoria_incidente_c4,incidente_c4,anio_creacion,mes_creacion,fecha_creacion,hora_creacion,anio_cierre,mes_cierre,fecha_cierre,hora_cierre,codigo_cierre,clas_con_f_alarma,alcaldia_cierre,colonia_cierre,manzana,latitud,longitud
C5/20210712/03052,Lesionado,Por golpes agresion,2021,Julio,2021-07-12,18:24:46,2021,Julio,2021-07-12,21:35:27,Otros,URGENCIAS MEDICAS,GUSTAVO A. MADERO,GABRIEL HERNANDEZ,9.01E+14,19.498628,-99.098794
C5/20210725/03686,Denuncia,Persona desaparecida,2021,Julio,2021-07-25,13:28:05,2021,Julio,2021-07-26,13:49:32,A,SERVICIO,IZTAPALAPA,XALPA III,9.01E+14,19.342204,-99.016986
C5/20210715/01914,Cadaver,Muerte causa ignorada,2021,Julio,2021-07-15,14:16:20,2021,Julio,2021-07-15,17:52:22,A,EMERGENCIA,CUAUHTEMOC,ROMA SUR I,9.02E+14,19.410182,-99.161472
C5/20210717/05031,Amenaza,A persona,2021,Julio,2021-07-17,20:26:25,2021,Julio,2021-07-17,20:41:50,Otros,DELITO,IZTAPALAPA,JOSE LOPEZ PORTILLO I,9.01E+14,19.304684,-99.085418
C5/20210714/00195,Medicos,Inconsciente,2021,Julio,2021-07-14,01:29:58,2021,Julio,2021-07-14,02:55:18,A,URGENCIAS MEDICAS,GUSTAVO A. MADERO,VALLEJO I,9.01E+14,19.469749,-99.132238
C5/20210706/01666,Derrame o fuga,Cilindro de gas,2021,Julio,2021-07-06,14:02:21,2021,Julio,2021-07-06,14:54:34,A,EMERGENCIA,GUSTAVO A. MADERO,EX-ESCUELA DE TIRO,9.01E+14,19.453403,-99.099615
C5/20210706/01556,Derrame o fuga,Cilindro de gas,2021,Julio,2021-07-06,13:31:11,2021,Julio,2021-07-06,14:02:03,A,EMERGENCIA,IZTAPALAPA,XALPA II,9.01E+14,19.340851,-99.012914
C5/20210706/02447,Derrame o fuga,Cilindro de gas,2021,Julio,2021-07-06,17:18:22,2021,Julio,2021-07-06,19:16:18,Otros,EMERGENCIA,CUAUHTEMOC,MORELOS I,9.02E+14,19.448811,-99.130681
C5/20210706/02112,Derrame o fuga,Cilindro de gas,2021,Julio,2021-07-06,15:52:36,2021,Julio,2021-07-06,17:38:36,A,EMERGENCIA,IZTAPALAPA,CITLALLI,9.01E+14,19.33623,-99.023393
C5/20210706/02231,Derrame o fuga,Cilindro de gas,2021,Julio,2021-07-06,16:26:13,2021,Julio,2021-07-06,17:30:40,Otros,EMERGENCIA,IZTAPALAPA,CITLALLI,9.01E+14,19.337196,-99.022389
C5/20210706/03202,Derrame o fuga,Cilindro de gas,2021,Julio,2021-07-06,20:27:52,2021,Julio,2021-07-06,20:43:57,Otros,EMERGENCIA,IZTAPALAPA,VICENTE GUERRERO SUPER MANZANA 1 (U HAB),9.01E+14,19.363191,-99.063264
C5/20210705/02641,Denuncia,Persona sospechosa,2021,Julio,2021-07-05,16:00:59,2021,Julio,2021-07-05,16:05:29,Otros,SERVICIO,AZCAPOTZALCO,SANTA BARBARA (PBLO),9.00E+14,19.496205,-99.174966
C5/20210705/02755,Denuncia,Persona sospechosa,2021,Julio,2021-07-05,16:29:53,2021,Julio,2021-07-05,16:48:21,Otros,SERVICIO,IZTAPALAPA,SAN ANDRES TETEPILCO (PBLO),9.01E+14,19.375233,-99.127591
C5/20210705/02943,Denuncia,Persona sospechosa,2021,Julio,2021-07-05,17:09:35,2021,Julio,2021-07-05,17:35:15,Otros,SERVICIO,MIGUEL HIDALGO,ANZURES,090160001068A006,19.430829,-99.180466
C5/20210705/02985,Denuncia,Persona sospechosa,2021,Julio,2021-07-05,17:26:04,2021,Julio,2021-07-05,17:42:54,Otros,SERVICIO,TLALPAN,AMPLIACION MIGUEL HIDALGO 2A SECC,9.01E+14,19.280274,-99.197883
C5/20210706/00799,Derrame o fuga,Olor a gas combustible quimicos,2021,Julio,2021-07-06,09:52:16,2021,Julio,2021-07-06,11:46:31,A,EMERGENCIA,GUSTAVO A. MADERO,PROGRESO NACIONAL II,9.01E+14,19.516912,-99.155141
C5/20210706/03028,Derrame o fuga,Olor a gas combustible quimicos,2021,Julio,2021-07-06,19:41:16,2021,Julio,2021-07-06,22:44:57,Otros,EMERGENCIA,AZCAPOTZALCO,TLATILCO (U HAB),9.00E+14,19.462362,-99.165074
C5/20210706/03017,Derrame o fuga,Olor a gas combustible quimicos,2021,Julio,2021-07-06,19:38:36,2021,Julio,2021-07-06,23:03:43,A,EMERGENCIA,AZCAPOTZALCO,PLENITUD,9.00E+14,19.474049,-99.19758
C5/20210706/02648,Derrame o fuga,Olor a gas combustible quimicos,2021,Julio,2021-07-06,18:10:02,2021,Julio,2021-07-06,19:00:14,Otros,EMERGENCIA,TLALPAN,SAN ANDRES TOTOLTEPEC (PBLO),9.01E+14,19.257166,-99.173753
C5/20210706/02721,Derrame o fuga,Olor a gas combustible quimicos,2021,Julio,2021-07-06,18:28:54,2021,Julio,2021-07-06,21:02:53,Otros,EMERGENCIA,AZCAPOTZALCO,PLENITUD,9.00E+14,19.474381,-99.198131
C5/20210706/00988,Derrame o fuga,Tanque estacionario,2021,Julio,2021-07-06,10:54:53,2021,Julio,2021-07-06,12:23:40,A,EMERGENCIA,CUAUHTEMOC,SANTA MARIA LA RIBERA II,9.02E+14,19.447918,-99.157524
C5/20210706/03697,Disturbio,Arrancones,2021,Julio,2021-07-06,22:27:20,2021,Julio,2021-07-06,22:43:51,A,FALTA CÍVICA,ALVARO OBREGON,TARANGO (U HAB),9.01E+14,19.360858,-99.223958
C5/20210706/02605,Disturbio,Concentracion de personas,2021,Julio,2021-07-06,17:54:47,2021,Julio,2021-07-06,18:31:13,A,SERVICIO,CUAUHTEMOC,ROMA SUR II,9.02E+14,19.401508,-99.168993
C5/20210706/00332,Disturbio,Disparos,2021,Julio,2021-07-06,03:04:25,2021,Julio,2021-07-06,06:14:54,Otros,DELITO,GUSTAVO A. MADERO,GENERAL FELIPE BERRIOZABAL,9.01E+14,19.557316,-99.130156
