folio,categoria_incidente_c4,incidente_c4,anio_creacion,mes_creacion,fecha_creacion,hora_creacion,anio_cierre,mes_cierre,fecha_cierre,hora_cierre,codigo_cierre,clas_con_f_alarma,alcaldia_cierre,colonia_cierre,manzana,latitud,longitud
C5/190213/04539,Medicos,Inconsciente,2019,Febrero,2019-02-13,15:05:48,2019,Febrero,2019-02-13,15:20:08,Negativo,URGENCIAS MEDICAS,IZTAPALAPA,CERRO DE LA ESTRELLA I,090070001593A001,19.328052,-99.080812
C5/190213/04548,Denuncia,Persona sospechosa,2019,Febrero,2019-02-13,15:00:26,2019,Febrero,2019-02-13,15:27:21,Negativo,SERVICIO,IZTAPALAPA,CAMPESTRE POTRERO,090070001426A016,19.331351,-98.977739
C5/190213/06073,Medicos,Inconsciente,2019,Febrero,2019-02-13,18:09:39,2019,Febrero,2019-02-13,18:14:36,Duplicado,URGENCIAS MEDICAS,CUAUHTEMOC,NONOALCO-TLATELOLCO (U HAB) II,0901500010409003,19.452512,-99.141834
C5/190213/04629,Danos,Otros,2019,Febrero,2019-02-13,15:19:18,2019,Febrero,2019-02-13,15:39:39,Negativo,DELITO,COYOACAN,PRESIDENTES EJIDALES PRIMERA SECCION,0900300010713055,19.328719,-99.129804
C5/190213/06272,Servicios,Entrevista ciudadana,2019,Febrero,2019-02-13,18:33:35,2019,Febrero,2019-02-13,19:44:41,Duplicado,SERVICIO,BENITO JUAREZ,"NAPOLES",0901400010204009,19.397118,-99.176123
C5/190213/04475,Servicios,Persona extraviada,2019,Febrero,2019-02-13,15:00:34,2019,Febrero,2019-02-13,16:02:33,Afirmativo,SERVICIO,CUAUHTEMOC,HIPODROMO II,0901500011337014,19.410282,-99.174693
C5/190217/10190,Robo,Otros,2019,Febrero,2019-02-17,23:44:18,2019,Febrero,2019-02-18,00:23:36,Afirmativo,DELITO,LA MAGDALENA CONTRERAS,SAN NICOLAS TOTOLAPAN (PBLO),0900800010457002,19.297834,-99.249831
C5/190217/10197,Denuncia,Persona sospechosa,2019,Febrero,2019-02-17,23:46:17,2019,Febrero,2019-02-18,00:01:28,Negativo,SERVICIO,CUAUHTEMOC,ROMA NORTE II,0901500011002022,19.417768,-99.164467
C5/190217/10019,Disturbio,Escandalo,2019,Febrero,2019-02-17,23:21:15,2019,Febrero,2019-02-18,00:15:06,Afirmativo,FALTA CÍVICA,MIGUEL HIDALGO,ANAHUAC II,0901600010497012,19.442347,-99.171565
C5/190217/10104,Medicos,Inconsciente,2019,Febrero,2019-02-17,23:33:36,2019,Febrero,2019-02-18,00:49:06,Negativo,URGENCIAS MEDICAS,TLAHUAC,SANTA CATARINA YECAHUIZOTL (PBLO),090110026097A012,19.307091,-98.969196
C5/190217/10165,Servicios,Entrevista ciudadana,2019,Febrero,2019-02-17,23:40:48,2019,Febrero,2019-02-18,00:03:25,Afirmativo,SERVICIO,VENUSTIANO CARRANZA,JARDIN BALBUENA I,090170001062A013,19.426173,-99.108183
