folio,categoria_incidente_c4,incidente_c4,anio_creacion,mes_creacion,fecha_creacion,hora_creacion,anio_cierre,mes_cierre,fecha_cierre,hora_cierre,codigo_cierre,clas_con_f_alarma,alcaldia_cierre,colonia_cierre,manzana,latitud,longitud
C5/200103/07617,Disturbio,Escandalo,2020,Enero,2020-01-03,23:01:50,2020,Enero,2020-01-03,23:18:08,Negativo,FALTA CÍVICA,CUAUHTEMOC,PERALVILLO II,0901500010038010,19.459899,-99.128849
C5/200103/07629,Disturbio,Escandalo,2020,Enero,2020-01-03,23:05:16,2020,Enero,2020-01-03,23:13:17,Negativo,FALTA CÍVICA,BENITO JUAREZ,NONOALCO,0901400010558002,19.382396,-99.184539
C5/200103/07633,Disturbio,Escandalo,2020,Enero,2020-01-03,23:06:31,2020,Enero,2020-01-03,23:15:23,Falso,FALSA ALARMA,COYOACAN,ALIANZA POPULAR REVOLUCIONARIA ORIENTE (U HAB),090030001136A027,19.315992,-99.118754
C5/200103/07639,Servicios,Entrevista ciudadana,2020,Enero,2020-01-03,23:06:44,2020,Enero,2020-01-03,23:10:24,Duplicado,SERVICIO,CUAUHTEMOC,CENTRO VIII,NA,19.435742,-99.14406
C5/200103/07640,Servicios,Entrevista ciudadana,2020,Enero,2020-01-03,23:07:16,2020,Enero,2020-01-03,23:15:10,Negativo,SERVICIO,VENUSTIANO CARRANZA,FEDERAL,0901700011238025,19.421357,-99.083797
C5/200103/07648,Medicos,Inconsciente,2020,Enero,2020-01-03,23:08:05,2020,Enero,2020-01-03,23:32:40,Negativo,URGENCIAS MEDICAS,IZTAPALAPA,LAS PEAS I,0900700014043024,19.337917,-99.051133
C5/200103/07649,Medicos,Inconsciente,2020,Enero,2020-01-03,23:07:56,2020,Enero,2020-01-03,23:18:28,Duplicado,URGENCIAS MEDICAS,ALVARO OBREGON,LOMAS DE SANTA FE II,0901000011379062,19.374673,-99.259038
C5/200103/07662,Disturbio,Escandalo,2020,Enero,2020-01-03,23:09:12,2020,Enero,2020-01-03,23:42:27,Negativo,FALTA CÍVICA,MIGUEL HIDALGO,ESCANDON I,0901600011175003,19.403562,-99.183948
C5/200103/07675,Disturbio,Escandalo,2020,Enero,2020-01-03,23:12:01,2020,Enero,2020-01-03,23:35:44,Negativo,FALTA CÍVICA,CUAJIMALPA DE MORELOS,"NAVIDAD (GRANJAS DE NAVIDAD)",090040001002A010,19.376026,-99.284229
C5/200103/07697,Disturbio,Escandalo,2020,Enero,2020-01-03,23:14:57,2020,Enero,2020-01-03,23:40:42,Negativo,FALTA CÍVICA,IZTAPALAPA,CULHUACAN (PBLO),0900700011566059,19.335841,-99.110308
C5/200103/07703,Medicos,Inconsciente,2020,Enero,2020-01-03,23:15:37,2020,Enero,2020-01-03,23:24:42,Afirmativo,URGENCIAS MEDICAS,CUAUHTEMOC,TRANSITO,090150001106A005,19.419774,-99.133211
C5/200103/07713,Denuncia,Persona sospechosa,2020,Enero,2020-01-03,23:16:36,2020,Enero,2020-01-03,23:36:49,Negativo,SERVICIO,CUAUHTEMOC,TABACALERA,090150001070A015,19.436089,-99.154337
C5/200103/07718,Servicios,Entrevista ciudadana,2020,Enero,2020-01-03,23:17:29,2020,Enero,2020-01-03,23:26:54,Negativo,SERVICIO,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),0901300010298039,19.260382,-99.126793
C5/200103/07719,Disturbio,Escandalo,2020,Enero,2020-01-03,23:17:55,2020,Enero,2020-01-03,23:40:57,Negativo,FALTA CÍVICA,IZTAPALAPA,APATLACO,0900700010356018,19.380518,-99.112691
C5/200103/07721,Servicios,Entrevista ciudadana,2020,Enero,2020-01-03,23:13:38,2020,Enero,2020-01-03,23:29:38,Duplicado,SERVICIO,GUSTAVO A. MADERO,SAN FELIPE DE JESUS IV,0900500011222023,19.492422,-99.06732
C5/200103/07722,Denuncia,Persona sospechosa,2020,Enero,2020-01-03,23:18:09,2020,Enero,2020-01-03,23:30:34,Negativo,SERVICIO,LA MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO),0900800010122001,19.32531,-99.225642
C5/200103/07729,Disturbio,Escandalo,2020,Enero,2020-01-03,23:16:58,2020,Enero,2020-01-03,23:34:03,Negativo,FALTA CÍVICA,TLALPAN,LOMAS DE  PADIERNA II,0901200010341021,19.293268,-99.216583
C5/200103/07732,Denuncia,Persona sospechosa,2020,Enero,2020-01-03,23:19:03,2020,Enero,2020-01-03,23:22:56,Duplicado,SERVICIO,CUAUHTEMOC,TABACALERA,090150001070A015,19.436089,-99.154337
C5/200103/07736,Denuncia,Persona sospechosa,2020,Enero,2020-01-03,23:19:31,2020,Enero,2020-01-03,23:25:35,Negativo,SERVICIO,IZTAPALAPA,BANJIDAL,0900700010801009,19.360306,-99.137205
C5/200103/07739,Denuncia,Persona sospechosa,2020,Enero,2020-01-03,23:16:17,2020,Enero,2020-01-03,23:42:35,Negativo,SERVICIO,ALVARO OBREGON,EL PIRUL,0901000010313002,19.380109,-99.239292
C5/200103/07744,Denuncia,Persona sospechosa,2020,Enero,2020-01-03,23:19:30,2020,Enero,2020-01-03,23:55:20,Negativo,SERVICIO,COYOACAN,PEDREGAL DE SANTA URSULA IV,0900300010978014,19.309272,-99.162276
C5/200103/07746,Disturbio,Escandalo,2020,Enero,2020-01-03,23:20:51,2020,Enero,2020-01-03,23:30:41,Negativo,FALTA CÍVICA,LA MAGDALENA CONTRERAS,BARROS SIERRA,0900800010207007,19.317858,-99.246124
C5/200103/07752,Medicos,Inconsciente,2020,Enero,2020-01-03,23:22:04,2020,Enero,2020-01-03,23:36:15,Negativo,URGENCIAS MEDICAS,CUAUHTEMOC,CENTRO IV,0901500010767013,19.434402,-99.14054
C5/200103/07753,Servicios,Entrevista ciudadana,2020,Enero,2020-01-03,23:21:07,2020,Enero,2020-01-03,23:27:27,Duplicado,SERVICIO,CUAUHTEMOC,CENTRO IV,0901500010767013,19.434402,-99.14054
C5/200103/07759,Denuncia,Persona sospechosa,2020,Enero,2020-01-03,23:22:39,2020,Enero,2020-01-03,23:41:55,Negativo,SERVICIO,GUSTAVO A. MADERO,LINDAVISTA I,0900500010949004,19.492507,-99.136638
C5/200103/07761,Disturbio,Escandalo,2020,Enero,2020-01-03,23:22:50,2020,Enero,2020-01-03,23:37:27,Afirmativo,FALTA CÍVICA,CUAUHTEMOC,CENTRO I,0901500010659001,19.440466,-99.129132
C5/200103/07771,Disturbio,Escandalo,2020,Enero,2020-01-03,23:23:27,2020,Enero,2020-01-03,23:30:23,Negativo,FALTA CÍVICA,IZTAPALAPA,PEON VIEJO (U HAB),0900700015253039,19.377311,-99.029549
C5/200103/07772,Disturbio,Escandalo,2020,Enero,2020-01-03,23:23:57,2020,Enero,2020-01-03,23:33:17,Afirmativo,FALTA CÍVICA,BENITO JUAREZ,IZTACCIHUATL,0901400010312018,19.390989,-99.137439
C5/200103/07777,Servicios,Corto cables transformador,2020,Enero,2020-01-03,23:24:33,2020,Enero,2020-01-03,23:46:18,Afirmativo,SERVICIO,IZTAPALAPA,EJERCITO DE AGUA PRIETA,0900700015677033,19.366295,-99.03502
C5/200103/07781,Medicos,Inconsciente,2020,Enero,2020-01-03,23:24:46,2020,Enero,2020-01-03,23:52:39,Negativo,URGENCIAS MEDICAS,GUSTAVO A. MADERO,VALLE DE MADERO,0900500013089021,19.550355,-99.141211
C5/200103/07783,Servicios,Entrevista ciudadana,2020,Enero,2020-01-03,23:25:26,2020,Enero,2020-01-03,23:28:25,Duplicado,SERVICIO,VENUSTIANO CARRANZA,ADOLFO LOPEZ MATEOS,0901700011030035,19.420065,-99.073866
C5/200103/07790,Medicos,Inconsciente,2020,Enero,2020-01-03,23:27:00,2020,Enero,2020-01-03,23:42:23,Negativo,URGENCIAS MEDICAS,CUAUHTEMOC,CENTRO IV,0901500010752017,19.436428,-99.14021
C5/200103/07798,Servicios,Entrevista ciudadana,2020,Enero,2020-01-03,23:27:46,2020,Enero,2020-01-03,23:58:04,Afirmativo,SERVICIO,BENITO JUAREZ,STA CRUZ ATOYAC,0901400010825002,19.366812,-99.165196
C5/200103/07800,Medicos,Inconsciente,2020,Enero,2020-01-03,23:28:41,2020,Enero,2020-01-03,23:36:05,Negativo,URGENCIAS MEDICAS,BENITO JUAREZ,"NARVARTE V",0901400010261015,19.38827,-99.156347
C5/200103/07803,Servicios,Entrevista ciudadana,2020,Enero,2020-01-03,23:27:53,2020,Enero,2020-01-03,23:47:16,Negativo,SERVICIO,MIGUEL HIDALGO,GRANADA,0901600010444005,19.440436,-99.203456
C5/200103/07806,Disturbio,Escandalo,2020,Enero,2020-01-03,23:29:12,2020,Enero,2020-01-03,23:38:20,Duplicado,FALTA CÍVICA,IZTAPALAPA,APATLACO,0900700010356018,19.380518,-99.112691
C5/200103/07824,Disturbio,Escandalo,2020,Enero,2020-01-03,23:32:32,2020,Enero,2020-01-03,23:42:21,Duplicado,FALTA CÍVICA,GUSTAVO A. MADERO,CUAUTEPEC DE MADERO,0900500013093040,19.543973,-99.1402
C5/200103/07828,Medicos,Inconsciente,2020,Enero,2020-01-03,23:32:23,2020,Enero,2020-01-03,23:46:28,Negativo,URGENCIAS MEDICAS,COYOACAN,SAN MATEO (BARR),0900300010060002,19.352991,-99.146729
C5/200103/07832,Disturbio,Escandalo,2020,Enero,2020-01-03,23:33:11,2020,Enero,2020-01-03,23:46:11,Negativo,FALTA CÍVICA,IZTAPALAPA,LOMAS ESTRELLA 2A SECC I,0900700014433014,19.320073,-99.089169
C5/200103/07833,Denuncia,Persona sospechosa,2020,Enero,2020-01-03,23:33:55,2020,Enero,2020-01-03,23:43:30,Negativo,SERVICIO,BENITO JUAREZ,DEL VALLE III,0901400010401010,19.388156,-99.165675
C5/200103/07853,Disturbio,Escandalo,2020,Enero,2020-01-03,23:37:25,2020,Enero,2020-01-03,23:40:03,Duplicado,FALTA CÍVICA,GUSTAVO A. MADERO,CUAUTEPEC DE MADERO,0900500013093040,19.543973,-99.1402
C5/200103/07857,Denuncia,Persona sospechosa,2020,Enero,2020-01-03,23:36:40,2020,Enero,2020-01-03,23:52:54,Negativo,SERVICIO,IZTAPALAPA,JACARANDAS,0900700011301027,19.349332,-99.051405
C5/200103/07858,Disturbio,Escandalo,2020,Enero,2020-01-03,23:37:33,2020,Enero,2020-01-03,23:45:57,Duplicado,FALTA CÍVICA,BENITO JUAREZ,PORTALES III,0901400010990011,19.362014,-99.150921
C5/200103/07865,Medicos,Inconsciente,2020,Enero,2020-01-03,23:37:33,2020,Enero,2020-01-03,23:41:30,Duplicado,URGENCIAS MEDICAS,ALVARO OBREGON,LAS CUEVITAS,0901000012061011,19.384848,-99.228486
C5/200112/00130,Denuncia,Persona sospechosa,2020,Enero,2020-01-12,00:11:37,2020,Enero,2020-01-12,00:23:50,Negativo,SERVICIO,TLALPAN,VERGEL DE COYOACAN-VERGEL DEL SUR,0901200010214032,19.302594,-99.139549
C5/200112/00286,Disturbio,Escandalo,2020,Enero,2020-01-12,00:30:41,2020,Enero,2020-01-12,00:42:32,Afirmativo,FALTA CÍVICA,BENITO JUAREZ,MODERNA,0901400010172013,19.392914,-99.13715
C5/200112/00297,Disturbio,Escandalo,2020,Enero,2020-01-12,00:33:10,2020,Enero,2020-01-12,00:35:06,Duplicado,FALTA CÍVICA,IZTAPALAPA,SAN ANTONIO (BARR),0900700012117002,19.306704,-99.069589
C5/200112/00299,Disturbio,Escandalo,2020,Enero,2020-01-12,00:33:30,2020,Enero,2020-01-12,00:53:23,Afirmativo,FALTA CÍVICA,BENITO JUAREZ,NONOALCO,0901400010558001,19.382538,-99.185866
C5/200112/00301,Disturbio,Escandalo,2020,Enero,2020-01-12,00:33:30,2020,Enero,2020-01-12,00:42:28,Negativo,FALTA CÍVICA,ALVARO OBREGON,EL MIRADOR,0901000011843053,19.345144,-99.22343
C5/200112/00302,Denuncia,Servidor publico,2020,Enero,2020-01-12,00:33:56,2020,Enero,2020-01-12,00:37:50,Duplicado,SERVICIO,CUAUHTEMOC,MORELOS I,0901500010343018,19.452128,-99.127403
C5/200112/00308,Denuncia,Servidor publico,2020,Enero,2020-01-12,00:34:47,2020,Enero,2020-01-12,00:38:08,Duplicado,SERVICIO,CUAUHTEMOC,MORELOS I,0901500010343015,19.451181,-99.127575
C5/200112/00309,Disturbio,Escandalo,2020,Enero,2020-01-12,00:35:04,2020,Enero,2020-01-12,00:57:48,Negativo,FALTA CÍVICA,TLAHUAC,MIGUEL HIDALGO,0901100010645007,19.29316,-99.049535
C5/200112/00310,Servicios,Entrevista ciudadana,2020,Enero,2020-01-12,00:34:43,2020,Enero,2020-01-12,00:59:38,Negativo,SERVICIO,BENITO JUAREZ,TLACOQUEMECATL DEL VALLE,0901400010717004,19.374386,-99.178397
C5/200112/00312,Disturbio,Escandalo,2020,Enero,2020-01-12,00:35:31,2020,Enero,2020-01-12,00:37:39,Duplicado,FALTA CÍVICA,ALVARO OBREGON,EL MIRADOR,0901000011843053,19.345144,-99.22343
C5/200112/00314,Disturbio,Escandalo,2020,Enero,2020-01-12,00:35:32,2020,Enero,2020-01-12,00:37:11,Duplicado,FALTA CÍVICA,GUSTAVO A. MADERO,LA PASTORA,NA,19.53148,-99.13161
C5/200112/00178,Medicos,Inconsciente,2020,Enero,2020-01-12,00:19:06,2020,Enero,2020-01-12,00:22:36,Duplicado,URGENCIAS MEDICAS,CUAUHTEMOC,CENTRO VIII,0901500010748015,19.431635,-99.14175
C5/200112/00204,Disturbio,Escandalo,2020,Enero,2020-01-12,00:22:31,2020,Enero,2020-01-12,00:24:20,Duplicado,FALTA CÍVICA,TLAHUAC,SELENE 2da SECC,0901100010289017,19.284639,-99.000416
C5/200112/00316,Disturbio,Escandalo,2020,Enero,2020-01-12,00:36:10,2020,Enero,2020-01-12,00:39:48,Duplicado,FALTA CÍVICA,ALVARO OBREGON,AGUILAS 3ER PARQUE,0901000012199015,19.352902,-99.220864
C5/200112/00318,Disturbio,Escandalo,2020,Enero,2020-01-12,00:35:43,2020,Enero,2020-01-12,01:08:51,Negativo,FALTA CÍVICA,CUAUHTEMOC,MORELOS III,NA,19.445686,-99.137226
C5/200112/00319,Denuncia,Persona sospechosa,2020,Enero,2020-01-12,00:35:35,2020,Enero,2020-01-12,00:42:03,Duplicado,SERVICIO,COYOACAN,CARMEN SERDAN,0900300010959018,19.318638,-99.106755
C5/200112/00160,Disturbio,Escandalo,2020,Enero,2020-01-12,00:16:51,2020,Enero,2020-01-12,00:31:31,Negativo,FALTA CÍVICA,COYOACAN,PEDREGAL DE STO DOMINGO IV,0900300010624005,19.329687,-99.16749
C5/200112/00170,Disturbio,Escandalo,2020,Enero,2020-01-12,00:18:11,2020,Enero,2020-01-12,00:36:34,Negativo,FALTA CÍVICA,IZTAPALAPA,EL TRIUNFO,0900700010322004,19.377585,-99.120188
C5/200112/00171,Disturbio,Escandalo,2020,Enero,2020-01-12,00:18:04,2020,Enero,2020-01-12,00:29:15,Negativo,FALTA CÍVICA,AZCAPOTZALCO,PRO HOGAR II,0900200010398011,19.474558,-99.156894
C5/200112/00172,Denuncia,Persona sospechosa,2020,Enero,2020-01-12,00:17:15,2020,Enero,2020-01-12,00:48:19,Negativo,SERVICIO,IZTAPALAPA,DESARROLLO URBANO QUETZALCOATL  III,0900700015499014,19.322677,-99.040695
C5/200112/00321,Disturbio,Escandalo,2020,Enero,2020-01-12,00:36:15,2020,Enero,2020-01-12,00:50:23,Negativo,FALTA CÍVICA,GUSTAVO A. MADERO,SAN JUAN DE ARAGON 3A SECCION (U HAB) II,0900500012396005,19.450842,-99.069721
C5/200112/00323,Disturbio,Escandalo,2020,Enero,2020-01-12,00:35:03,2020,Enero,2020-01-12,00:39:02,Duplicado,FALTA CÍVICA,CUAUHTEMOC,SANTA MARIA LA RIBERA I,0901500010466027,19.454963,-99.163457
C5/200112/00324,Servicios,Entrevista ciudadana,2020,Enero,2020-01-12,00:36:16,2020,Enero,2020-01-12,00:37:57,Duplicado,SERVICIO,CUAUHTEMOC,OBRERA IV,0901500011267011,19.41355,-99.137842
C5/200112/00329,Disturbio,Escandalo,2020,Enero,2020-01-12,00:36:58,2020,Enero,2020-01-12,01:04:20,Negativo,FALTA CÍVICA,VENUSTIANO CARRANZA,MOCTEZUMA 2A SECCION I,090170001055A007,19.433856,-99.096751
C5/200112/00330,Disturbio,Escandalo,2020,Enero,2020-01-12,00:37:37,2020,Enero,2020-01-12,00:48:11,Negativo,FALTA CÍVICA,IZTAPALAPA,EL MOLINO_,0900700013774015,19.356041,-99.086257
C5/200112/00331,Disturbio,Escandalo,2020,Enero,2020-01-12,00:36:54,2020,Enero,2020-01-12,01:00:33,Afirmativo,FALTA CÍVICA,CUAUHTEMOC,BUENAVISTA II,0901500010610004,19.440914,-99.14918
C5/200112/01357,Disturbio,Escandalo,2020,Enero,2020-01-12,02:55:20,2020,Enero,2020-01-12,02:58:09,Duplicado,FALTA CÍVICA,COYOACAN,LA MAGDALENA CULHUACAN (BARR),090030001022A008,19.341515,-99.120302
C5/200112/01358,Disturbio,Escandalo,2020,Enero,2020-01-12,02:55:59,2020,Enero,2020-01-12,03:01:12,Duplicado,FALTA CÍVICA,GUSTAVO A. MADERO,CAMPESTRE ARAGON I,0900500011330022,19.486665,-99.079079
C5/200112/01360,Disturbio,Escandalo,2020,Enero,2020-01-12,02:56:37,2020,Enero,2020-01-12,03:01:43,Duplicado,FALTA CÍVICA,GUSTAVO A. MADERO,CAMPESTRE ARAGON I,0900500011330008,19.487532,-99.079458
C5/200112/01361,Denuncia,Persona sospechosa,2020,Enero,2020-01-12,02:56:01,2020,Enero,2020-01-12,03:06:59,Negativo,SERVICIO,IZTAPALAPA,LOS ANGELES,090070001383A035,19.344822,-99.065456
C5/200112/01362,Servicios,Entrevista ciudadana,2020,Enero,2020-01-12,02:54:13,2020,Enero,2020-01-12,03:16:24,Negativo,SERVICIO,AZCAPOTZALCO,VICTORIA DE LAS DEMOCRACIAS,090020001074A016,19.471223,-99.164356
C5/200112/01363,Disturbio,Escandalo,2020,Enero,2020-01-12,02:56:17,2020,Enero,2020-01-12,03:15:36,Negativo,FALTA CÍVICA,XOCHIMILCO,POTRERO DE SAN BERNARDINO,0901300010086007,19.268662,-99.118515
C5/200112/01364,Disturbio,Escandalo,2020,Enero,2020-01-12,02:55:27,2020,Enero,2020-01-12,03:14:15,Negativo,FALTA CÍVICA,MIGUEL HIDALGO,LOMAS DE SOTELO,0901600010317042,19.452209,-99.215543
C5/200112/01366,Disturbio,Escandalo,2020,Enero,2020-01-12,02:56:54,2020,Enero,2020-01-12,03:14:44,Negativo,FALTA CÍVICA,AZCAPOTZALCO,COLTONGO,0900200010881010,19.481818,-99.155609
C5/200112/01370,Denuncia,Persona sospechosa,2020,Enero,2020-01-12,02:57:17,2020,Enero,2020-01-12,03:03:20,Negativo,SERVICIO,IZTAPALAPA,CONSEJO AGRARISTA MEXICANO I,0900700013327013,19.323452,-99.055474
C5/200112/01372,Disturbio,Escandalo,2020,Enero,2020-01-12,02:56:55,2020,Enero,2020-01-12,03:09:07,Duplicado,FALTA CÍVICA,CUAUHTEMOC,EX HIPODROMO DE PERALVILLO,0901500010131001,19.455233,-99.136161
C5/200112/01373,Disturbio,Escandalo,2020,Enero,2020-01-12,02:57:41,2020,Enero,2020-01-12,03:00:33,Duplicado,FALTA CÍVICA,CUAUHTEMOC,BUENAVISTA II,0901500010502019,19.444242,-99.149983
C5/200112/01375,Disturbio,Escandalo,2020,Enero,2020-01-12,02:58:12,2020,Enero,2020-01-12,03:20:19,Negativo,FALTA CÍVICA,TLALPAN,BOSQUES DEL PEDREGAL,0901200011509015,19.272721,-99.240876
